m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
28.363,19.207,1161.431,72.628,30.357,12.822,1084.506,53.447,11.666,15.145,233.879,41.369,0
17.94,10.22,418.739,37.614,20.75,13.3,502.563,33.85,20.917,14.257,577.913,52.663,0
23.09,10.775,649.272,47.339,23.123,14.188,735.974,53.02,22.405,9.827,598.547,38.629,0
25.301,17.873,959.558,65.609,18.8,14.445,485.169,44.119,11.711,13.707,208.762,31.386,0
29.877,12.51,1049.151,47.586,17.428,13.993,426.283,41.928,12.059,12.481,210.524,34.953,0
17.857,11.56,448.744,36.681,24.218,14.192,774.929,64.225,12.637,17.041,341.894,48.457,0
21.945,14.243,681.058,51.41,20.542,19.297,635.4,53.92,16.025,18.888,378.543,44.101,0
18.094,14.204,448.823,41.712,10.933,10.752,181.826,34.369,21.124,26.968,799.948,66.064,0
11.255,10.71,184.15,29.767,11.558,13.561,190.16,28.008,11.581,15.018,225.6,35.651,0
22.002,14.143,646.428,43.157,6.456,8.568,79.571,22.536,23.997,21.592,838.945,58.754,0
19.479,12.607,527.784,44.927,11.246,13.535,197.348,26.72,20.884,14.454,601.927,44.712,0
17.588,10.624,421.037,38.479,10.076,11.157,154.848,28.198,41.565,12.583,1885.991,59.921,0
25.127,9.239,716.72,45.077,9.771,11.188,145.741,25.654,33.4,11.844,1255.879,52.571,0
17.887,15.841,435.585,35.583,11.086,7.884,167.836,26.722,18.934,16.524,583.699,56.962,0
17.308,9.06,371.236,33.288,8.814,10.316,115.203,23.784,12.35,14.846,243.377,38.62,0
12.156,9.091,219.44,26.02,8.528,9.995,117.702,27.987,16.443,20.157,407.587,47.887,0
25.723,8.961,741.954,43.679,12.411,12.998,220.484,33.109,10.084,12.896,166.376,33.479,0
21.354,10.447,565.114,42.401,13.561,13.833,281.787,40.936,30.484,13.977,1114.244,57.013,0
13.453,9.271,243.164,31.065,8.982,9.668,130.834,27.438,18.262,19.122,533.426,48.808,0
16.43,17.509,466.858,52.969,10.265,12.882,187.684,33.123,19.8,15.836,504.804,37.162,0
15.237,16.367,344.833,39.391,13.381,13.783,282.559,36.197,25.307,13.355,818.811,54.337,0
12.347,15.219,231.62,29.49,13.072,13.696,273.266,35.695,30.763,12.79,1109.941,53.044,0
9.778,9.27,138.252,22.271,9.431,9.011,123.767,24.456,12.38,15.325,240.685,31.116,0
10.691,12.816,168.218,28.052,12.393,10.356,225.809,42.625,12.498,11.297,218.008,28.891,0
9.367,7.691,112.565,19.637,8.058,9.503,104.577,24.87,12.552,13.754,224.171,34.988,0
10.471,11.768,172.287,28.239,10.853,10.805,162.295,24.106,19.899,19.798,562.911,45.939,0
15.98,11.038,340.772,33.813,13.598,11.257,252.394,30.021,16.77,18.625,370.375,33.933,0
8.435,9.686,108.782,28.083,15.589,11.225,318.891,36.491,15.417,18.182,362.312,37.247,0
13.556,11.251,246.863,30.422,11.32,9.049,195.097,26.644,13.616,16.009,321.249,50.594,0
6.137,7.812,61.105,19.129,10.869,10.422,175.748,34.123,24.517,20.9,918.535,57.17,0
8.629,10.424,111.166,21.535,10.89,11.282,168.546,28.838,14.122,16.969,288.903,34.278,0
17.287,8.936,378.687,36.208,14.896,12.875,321.451,36.785,30.478,17.193,1170.768,54.435,0
8.069,9.848,102.908,24.288,9.784,9.436,143.706,25.383,41.669,11.581,1870.457,67.578,0
7.523,8.445,86.118,24.558,8.199,9.35,98.214,21.328,30.729,21.974,1369.822,71.616,0
12.387,14.92,223.251,30.778,10.799,9.198,164.648,22.312,15.107,17.582,327.389,37.44,0
8.809,12.378,169.171,30.839,13.43,15.031,254.147,31.823,15.725,11.858,343.867,35.653,0
11.356,10.819,174.442,23.594,7.055,7.892,94.091,24.355,17.259,16.168,443.983,44.901,0
9.231,11.302,136.721,25.054,7.658,7.707,88.046,21.626,20.395,24.612,653.211,53.737,0
14.764,7.847,279.551,31.155,9.484,11.346,135.76,26.327,16.183,20.174,408.626,51.047,0
8.046,10.913,120.154,34.835,11.848,14.56,212.248,28.165,34.58,13.437,1376.341,62.06,0
8.897,10.99,126.783,23.08,9.085,10.594,120.608,23.026,20.565,14.464,611.858,51.832,0
17.449,19.297,423.884,41.424,10.907,10.406,168.123,28.989,12.794,15.547,290.15,41.979,0
