m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
18.646,22.234,526.471,52.273,165.713,40.756,29121.988,228.446,26.569,32.974,1097.61,75.099,0
25.026,28.248,844.8,63.365,110.599,41.505,13954.898,171.218,22.738,24.406,691.44,58.11,0
24.717,29.634,921.15,59.186,57.061,33.147,4354.626,112.25,12.113,10.162,229.674,29.253,0
47.108,23.824,2780.423,106.278,36.01,41.618,1790.424,80.122,23.707,26.598,795.695,51.71,0
60.675,18.88,4037.957,95.044,34.715,39.107,1896.975,96.019,22.985,25.048,651.095,42.283,0
27.092,22.285,931.371,59.044,37.853,35.975,2231.197,92.609,24.181,27.421,805.992,56.049,0
14.708,18.784,354.116,38.574,61.846,41.822,5268.712,131.191,21.157,24.517,602.369,48.366,0
27.178,19.492,983.025,51.048,106.942,27.481,12191.772,158.066,15.371,17.94,343.134,37.589,0
22.61,26.244,718.153,52.163,101.849,30.855,11325.176,151.759,31.606,35.779,1287.415,72.718,0
27.626,24.234,1105.67,67.647,115.521,29.546,14218.059,168.877,11.307,14.087,222.361,35.215,0
27.454,23.375,1028.062,83.013,100.252,39.814,11635.668,170.358,22.413,24.969,666.22,47.536,0
19.871,19.188,596.369,54.574,139.736,35.624,20795.096,192.075,17.438,16.524,416.962,42.066,0
14.295,17.753,324.72,44.598,104.944,33.46,12132.79,168.501,18.463,21.047,476.855,45.648,0
17.095,20.165,444.66,44.772,99.032,34.858,11022.434,148.853,12.847,17.662,316.107,50.134,0
23.495,25.119,902.783,68.333,45.973,38.925,3302.024,114.103,21.624,26.275,690.437,46.152,0
33.24,15.308,1339.227,56.913,35.62,40.899,1704.385,76.717,12.014,14.232,213.407,29.046,0
41.035,22.575,2193.522,84.039,31.006,34.062,1413.206,72.588,21.3,26.503,702.635,61.709,0
41.298,22.915,2132.592,76.817,27.222,30.86,953.382,69.257,17.479,19.683,396.588,42.018,0
47.284,14.56,2447.802,70.895,36.099,27.883,1948.411,70.325,13.133,15.229,235.704,27.664,0
35.888,23.968,1714.349,73.875,34.667,38.156,1842.92,83.807,20.541,25.596,665.87,60.728,0
18.834,20.616,607.225,47.175,33.474,36.927,1420.667,62.479,17.714,21.136,484.111,42.459,0
