idx,featAbs1,featAbs2,featAbs3,label
78300,13.146,23.192,19.755,0
78325,13.81,9.579,19.833,0
78350,10.296,6.261,17.247,0
78375,6.877,6.168,18.428,0
78400,11.959,7.508,17.264,0
78425,11.847,7.45,18.981,0
78450,14.624,10.395,23.536,0
78475,13.826,7.991,20.354,0
78500,12.802,10.779,21.577,0
78525,8.05,6.217,18.977,0
78550,17.811,5.113,16.232,0
78575,9.902,5.957,18.092,0
78600,17.397,9.589,22.793,0
78625,10.294,5.465,19.425,0
78650,11.345,7.1,18.751,0
78675,13.382,15.901,18.432,0
78700,12.7,6.338,19.251,0
78725,22.23,17.763,20.466,0
78750,9.431,15.341,21.529,0
78775,13.46,8.292,19.81,0
78800,9.71,7.653,21.296,0
78825,12.259,9.022,17.9,0
78850,6.769,10.066,19.797,0
78875,14.172,16.248,18.94,0
78900,11.076,7.458,18.447,0
78925,9.679,12.462,20.402,0
78950,13.675,14.816,17.506,0
78975,11.215,9.15,19.183,0
79000,14.717,23.821,17.999,0
79025,10.694,9.34,18.8,0
79050,10.489,7.827,20.49,0
79075,11.24,11.332,18.894,0
79100,12.354,5.209,22.312,0
79125,13.583,6.223,17.165,0
79150,11.683,6.524,17.798,0
79175,13.577,4.551,20.599,0
79200,16.99,9.257,18.491,0
79225,9.59,7.524,20.209,0
79250,9.781,17.8,19.535,0
79275,10.683,6.163,19.026,0
79300,9.017,4.662,19.182,0
79325,12.559,9.877,18.956,0
79350,14.229,7.19,19.832,0
79375,11.114,14.689,18.343,0
79400,20.108,6.043,20.358,0
79425,16.819,5.521,19.029,0
79450,12.326,10.856,18.557,0
79475,13.329,20.44,20.597,0
79500,12.353,14.841,20.661,0
79525,15.816,17.059,25.29,0
79550,8.579,6.408,17.043,0
79575,9.921,7.202,19.334,0
79600,11.436,7.333,17.68,0
79625,8.901,13.28,20.812,0
79650,15.507,8.693,17.706,0
79675,12.92,6.506,19.422,0
79700,11.365,5.261,17.882,0
79725,15.19,5.192,19.614,0
79750,14.205,6.565,20.054,0
79775,10.366,5.102,17.199,0
79800,13.109,5.151,23.021,0
79825,9.261,15.997,24.838,1
79850,11.598,12.265,19.653,1
79875,14.667,7.612,18.221,1
79900,8.677,9.142,20.402,1
79925,8.655,8.292,18.883,1
79950,11.583,16.109,25.104,1
79975,12.639,15.697,22.041,1
80000,11.537,8.035,22.418,1
80025,12.852,7.024,16.875,1
80050,13.914,4.796,18.652,1
80075,10.758,15.808,21.787,1
80100,10.331,4.271,16.776,1
80125,11.186,10.366,17.346,1
80150,32.024,33.988,29.774,1
80175,28.536,34.264,59.214,1
80200,260.063,69.604,59.323,1
80225,1126.014,318.683,87.978,1
80250,651.01,110.989,109.962,1
80275,359.176,121.542,83.798,1
80300,278.294,153.493,200.047,1
80325,323.74,69.378,244.372,1
80350,275.308,88.645,152.33,1
80375,236.614,52.613,103.43,1
80400,240.068,113.465,56.044,1
80425,218.197,131.907,123.758,1
80450,202.299,104.429,170.388,1
80475,160.734,78.078,202.693,1
80500,163.686,53.529,180.386,1
80525,130.506,89.085,200.009,1
80550,131.241,57.537,203.479,1
80575,132.497,75.777,198.051,1
80600,50.885,60.643,191.254,1
80625,77.024,46.872,197.155,1
80650,93.8,49.625,175.251,1
80675,65.142,71.149,176.072,1
80700,78.82,77.223,124.019,1
80725,74.392,91.086,90.858,1
80750,78.099,65.793,33.822,1
80775,112.57,64.859,66.029,1
80800,132.66,65.526,81.989,1
80825,126.864,61.261,137.142,1
80850,101.748,62.244,137.939,1
80875,193.305,52.713,144.765,1
80900,111.13,75.479,131.947,1
80925,93.947,44.152,155.541,1
80950,150.695,78.834,164.552,1
80975,164.428,87.933,137.445,1
81000,129.248,52.861,141.833,1
81025,226.291,102.617,128.857,1
81050,145.823,69.259,119.052,1
81075,174.595,94.368,104.29,1
81100,203.789,68.559,93.246,1
81125,87.579,41.551,73.88,1
81150,166.094,110.948,54.726,1
81175,235.339,75.174,61.59,1
81200,178.383,63.901,71.819,1
81225,168.251,60.99,77.351,1
81250,159.414,60.033,42.678,1
81275,216.291,73.182,72.214,1
81300,167.869,80.978,75.587,1
81325,90.963,84.469,34.866,1
81350,104.476,62.193,50.575,0
81375,118.955,71.994,61.245,0
81400,100.051,61.883,65.196,0
81425,141.199,45.7,45.749,0
81450,130.289,94.299,49.912,0
81475,145.123,64.228,76.609,0
81500,135.353,85.188,63.052,0
81525,116.872,61.574,41.56,0
81550,64.657,34.549,33.006,0
81575,108.519,165.265,91.476,0
81600,128.174,207.362,143.064,0
81625,81.832,132.691,160.564,0
81650,115.299,39.601,106.211,0
81675,91.298,40.995,54.967,0
81700,81.006,59.61,21.333,0
81725,74.596,44.716,30.458,0
81750,35.611,22.642,102.06,0
81775,31.76,26.545,131.008,0
81800,15.15,23.32,84.983,0
81825,12.98,21.312,26.656,0
81850,11.569,8.848,22.883,0
81875,21.377,9.579,25.465,0
81900,17.372,20.038,19.295,0
81925,11.27,15.44,23.935,0
81950,14.182,10.833,17.978,0
81975,12.036,6.821,23.923,0
82000,12.741,8.786,20.651,0
82025,15.197,9.242,27.909,0
82050,10.983,4.479,19.715,0
82075,14.268,4.88,19.344,0
82100,15.484,12.575,16.426,0
82125,13.143,27.444,21.393,0
82150,13.557,47.778,19.781,0
82175,12.267,52.061,26.738,0
82200,18.212,36.849,19.283,0
82225,22.558,24.585,22.161,0
82250,15.985,25.11,19.161,0
82275,20.206,19.065,19.009,0
82300,15.329,6.828,17.238,0
82325,24.089,8.912,22.432,0
82350,15.205,18.726,21.329,0
82375,13.277,33.247,41.712,0
82400,14.827,35.358,43.192,0
82425,16.484,34.389,58.303,0
82450,17.498,23.889,48.547,0
82475,19.245,13.529,46.314,0
82500,28.554,5.834,36.746,0
82525,28.375,7.701,44.655,0
82550,31.311,6.448,35.303,0
82575,17.353,7.469,45.267,0
82600,18.972,12.219,48.258,0
82625,21.13,27.492,57.599,0
82650,15.929,35.852,48.755,0
82675,11.687,42.661,49.847,0
82700,18.717,37.138,47.368,0
82725,11.148,32.462,42.191,0
82750,13.076,23.615,22.107,0
82775,13.855,17.604,23.87,0
82800,18.532,19.972,18.789,0
82825,14.562,19.202,21.417,0
82850,10.057,18.391,15.709,0
82875,13.462,8.933,19.314,1
82900,17.286,20.625,17.252,1
82925,11.425,19.754,17.498,1
82950,11.88,24.614,18.043,1
82975,14.896,16.155,33.336,1
83000,15.603,19.926,22.265,1
83025,19.352,38.983,29.457,1
83050,32.189,27.918,48.228,1
83075,345.012,99.687,45.281,1
83100,1024.079,239.189,137.358,1
83125,240.261,131.862,278.045,1
83150,309.685,122.31,261.017,1
83175,234.795,75.717,187.933,1
83200,355.673,83.914,73.848,1
83225,353.276,106.354,146.462,1
83250,280.009,137.571,210.564,1
