m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
157.7943,27.6873,157.7943,204.3732,-73.826,42.2423,74.6876,142.3666,3.7155,38.1518,34.3103,71.056,0
119.1569,30.0509,119.1569,177.5391,-27.2538,37.3051,38.1794,84.1106,0.1522,30.1107,26.8062,51.4554,0
87.9383,30.5088,87.9383,142.4376,21.1171,33.9734,33.089,74.1434,-4.1231,33.4179,28.1556,65.9733,0
49.2741,32.493,49.2741,128.0474,54.8605,36.5629,55.2516,111.9086,-5.5099,39.426,33.0953,77.8384,0
19.2277,22.0709,23.2265,64.6517,80.346,34.6911,80.346,131.5975,-9.0919,33.9383,29.6192,66.647,0
-6.1518,24.4659,21.4762,49.6122,84.4849,28.657,84.4849,130.342,-6.7047,40.8824,34.1041,91.9783,0
-11.2533,28.7084,25.7102,57.7235,88.8338,29.5725,88.8338,141.0594,-3.4233,41.7181,36.8461,79.0245,0
-18.1766,24.7511,25.8774,55.9238,88.6282,32.2457,88.6282,141.0654,-4.3875,29.3126,25.4926,60.3823,0
-22.4926,26.3882,28.3926,66.4187,77.1729,32.5364,77.1729,134.0382,-5.2383,41.7085,36.6548,73.2064,0
-37.1507,26.4706,38.8632,85.2029,75.4548,35.128,75.4548,137.5156,-1.8368,24.9457,19.4654,69.5974,0
-38.7855,25.947,39.1024,83.4003,72.0045,31.8522,72.0045,127.8344,0.7225,33.1947,29.9198,65.3842,0
-44.7379,25.807,45.6824,80.3931,72.878,34.4353,72.878,129.1754,2.5544,34.9651,31.2252,66.389,0
-44.1327,26.7928,44.1327,86.9309,72.348,34.0341,72.348,144.3093,2.1903,29.0743,25.5704,53.3674,0
-46.0018,24.246,46.008,84.077,50.1624,34.262,50.6134,106.6375,6.3734,33.3329,29.8646,57.2537,0
-45.7401,24.0994,45.7401,94.0259,41.7934,30.9226,43.2653,96.6241,1.1365,24.9209,20.9687,56.1444,0
-46.567,28.9344,46.9198,103.4976,23.0943,35.2882,34.123,87.8003,1.4736,26.696,22.8813,51.5115,0
-58.0644,23.4634,58.0644,95.543,9.8175,36.5472,32.8029,68.6677,-3.7665,33.7072,30.164,59.5377,0
-45.2392,28.9904,45.8938,91.6398,5.791,35.174,30.4719,68.8357,13.2448,36.1432,33.281,74.0939,0
-50.4759,24.7851,50.8119,85.9435,-3.6022,33.6176,30.1503,59.5404,-5.2096,44.7713,38.3586,76.1907,0
-36.034,23.9314,36.0414,78.6898,-4.1397,28.1837,25.385,48.3317,4.5271,25.2513,22.2782,52.7214,0
-33.7229,26.6814,36.4307,75.8834,-22.3851,32.9019,34.1892,75.1226,-10.9521,27.4672,25.0726,59.5602,0
-23.2726,22.687,26.6034,69.6886,-12.3355,28.543,26.74,51.6013,2.6215,46.0532,40.3301,69.5367,0
-16.1926,22.4154,23.3234,52.2626,-25.552,31.6145,33.9736,75.0474,-12.2797,34.3985,32.1558,73.1797,0
-12.072,25.9255,23.8444,56.1967,-26.4891,35.3122,34.9743,90.7185,10.9209,46.966,41.7414,96.0259,0
-5.736,26.2115,21.8845,61.2448,-28.5301,29.2759,35.513,65.8947,-10.1099,40.3581,37.0577,78.311,0
14.5512,21.5516,20.5061,53.3943,-18.3318,37.5798,35.8475,74.9132,14.316,29.9661,26.743,67.1053,0
3.6392,26.4911,22.7917,49.433,-26.7388,36.9896,38.0319,87.319,-1.7044,28.7605,23.6016,54.8744,0
12.7569,29.2876,26.9194,58.8209,-12.7163,40.7498,36.8823,75.2566,10.7089,36.2365,33.0447,68.313,0
23.3473,30.9405,30.67,81.678,-20.5574,32.9004,33.6597,63.8806,5.0807,42.4729,36.2339,83.9393,0
32.2474,18.4874,32.2474,69.2126,-24.4981,29.9648,30.1464,84.3507,-6.1914,31.4035,27.5006,55.0292,0
9.0255,26.802,23.5067,55.3878,-43.8251,34.4769,47.5716,88.4921,4.4576,33.9841,28.8121,74.5916,0
4.8991,26.1617,22.3165,55.2726,-22.9242,40.1278,37.3641,89.6835,2.6241,24.8818,22.1881,43.3197,0
-5.9965,21.0548,19.1026,38.1215,-47.8137,30.214,49.6994,89.3846,-8.1863,44.1247,35.7245,97.3778,0
-8.9681,26.3309,22.6271,62.621,-56.1688,33.3412,56.7646,112.1226,9.2398,28.2066,22.5511,73.3163,0
-24.6063,22.3068,27.7597,61.4227,-65.302,30.0556,65.302,118.4644,3.4508,24.9227,20.0293,55.4017,0
-12.4135,26.3379,24.964,54.3715,-25.3651,36.1736,35.4248,85.9662,4.644,38.5512,31.6725,72.5042,0
-13.1194,22.2094,22.2516,50.563,-21.7423,28.5708,31.4871,62.524,-7.7007,24.3382,19.2105,71.4469,0
1.5362,23.4674,20.7455,37.0846,5.7054,31.6875,28.1684,58.8438,8.7612,37.8975,32.1973,74.9556,0
-5.963,21.3938,19.5071,37.0393,7.002,34.4175,30.1006,65.9883,-0.5358,29.7162,25.9812,56.5511,0
4.491,27.6691,24.5309,50.4934,21.9879,35.6329,34.8337,74.3511,-2.6177,46.995,40.3342,89.3824,0
-1.433,21.9386,18.4864,42.6162,23.3105,27.3794,28.4443,74.7076,-14.4259,40.5259,35.7323,84.095,0
3.9041,26.2171,23.5038,41.0334,59.791,32.5942,59.8988,104.8114,7.5247,28.0447,24.5051,50.3027,0
-0.9537,18.1573,15.6625,32.6647,68.0621,28.1315,68.0621,118.2388,-10.2068,36.2146,32.0555,75.4205,0
6.9263,23.9773,22.2288,41.3063,57.6886,32.0733,57.6886,115.6967,3.4397,35.0032,30.8021,67.1177,0
1.2488,20.1216,17.2891,36.6595,28.9579,31.2067,33.2118,82.0441,-2.8064,27.7185,23.812,45.984,0
9.5398,30.1212,27.6225,54.6976,26.1862,32.2263,34.019,73.6818,6.4947,49.7168,42.0495,92.2799,0
-5.9568,22.4169,19.9936,45.3235,5.7037,29.6362,26.128,56.3694,3.8788,33.3394,28.4013,64.2316,0
-9.7613,25.8494,22.0945,66.9948,6.8499,32.2438,29.2394,56.087,-4.374,60.6349,49.6301,127.2227,0
-25.1825,24.3557,30.1524,60.3738,-6.4165,27.2482,24.578,47.3228,-7.0513,41.627,31.0594,98.2372,0
-12.2773,25.5762,22.7928,58.5698,-3.1541,34.1808,30.6333,56.4939,3.952,44.4381,40.426,69.1276,0
-15.3937,23.0823,23.0828,52.7827,-13.5479,34.8659,32.7582,65.7155,2.6078,48.0898,42.8579,85.1467,1
-13.2513,24.2097,23.3954,54.4497,-13.1992,38.3876,35.6314,67.7253,-2.0305,38.0287,32.4986,80.6212,1
-5.5453,23.5274,20.0156,54.5322,-8.7267,30.9429,28.3746,56.1736,2.8121,34.1755,28.5107,71.895,1
0.652,25.8619,22.9467,41.8934,-8.7893,32.3325,30.1138,50.7772,1.6146,52.5081,43.8208,98.0333,1
4.8972,26.8954,23.8677,50.4293,-8.4692,27.8151,25.425,46.3854,-9.6403,36.559,31.5298,78.6045,1
7.2511,25.4367,21.8745,53.3752,-6.6345,35.9641,32.486,61.3967,4.334,28.5782,25.386,52.1086,1
10.3473,23.8962,21.628,48.9583,-10.7262,33.0871,30.5671,61.5862,6.0053,34.4017,29.1549,66.9081,1
7.0033,21.2867,18.7811,49.9647,-8.2187,31.3159,28.9003,48.8492,-12.2582,36.0595,32.7824,76.5183,1
6.5134,23.2417,20.5678,44.6016,-6.315,25.1791,22.9064,43.302,3.94,48.633,40.3756,102.8516,1
0.3875,25.7267,21.7573,55.8096,-11.0483,28.4412,26.7134,47.6899,-13.1498,36.0291,33.4288,62.5553,1
-0.1767,23.4159,20.751,39.1489,1.0486,29.05,25.8981,47.9846,11.4227,29.0783,27.541,52.672,1
25.4589,48.2331,43.19,106.2716,9.5486,54.8468,49.3741,91.0023,-27.5763,66.5658,59.775,154.6058,1
44.4078,40.9557,54.2388,98.1155,9.2839,58.6236,49.7947,120.9578,2.192,78.2307,65.8636,159.0566,1
65.8236,117.292,113.2943,289.3182,4.1372,90.4076,80.1567,164.1047,-1.5595,88.421,74.2916,167.4653,1
-212.2277,186.3409,228.7811,505.5123,29.9879,106.5406,85.324,243.4622,-9.1412,124.1664,95.378,302.4907,1
-110.4145,133.0937,125.1226,386.576,226.1838,85.8505,226.1838,359.5763,-35.4983,152.5356,132.7217,376.6908,1
-54.9988,158.8372,138.2864,394.8024,479.0268,228.0001,479.0268,791.2073,137.2875,126.155,151.4702,402.6239,1
40.4627,179.7277,156.9639,331.7552,730.0833,162.3394,730.0833,984.6807,61.9953,80.3737,83.5615,190.3573,1
221.7535,168.7626,221.7535,733.1423,1421.3796,132.9029,1421.3796,1638.7756,-57.2054,56.1046,61.5758,179.6412,1
71.8069,213.1527,192.7671,452.8068,1307.1998,94.6882,1307.1998,1470.8887,17.7502,72.9612,67.2954,133.1328,1
173.5874,196.3151,203.5977,605.3643,1016.7679,73.6491,1016.7679,1144.0881,7.1845,74.1472,65.0307,118.4855,1
161.5044,168.9746,194.9218,412.1012,790.8635,57.2864,790.8635,889.8962,-1.408,86.6828,73.8172,155.9106,1
-24.5873,213.3466,175.9421,430.106,615.1497,44.5584,615.1497,692.1797,29.5183,121.5928,105.757,240.7889,1
-110.0605,121.7587,148.8001,266.7255,478.4758,34.6586,478.4758,538.3916,31.3309,72.3614,67.0812,159.7979,1
23.5099,125.9141,109.5682,231.1714,372.1678,26.9586,372.1678,418.7715,16.5914,79.1601,67.6751,183.7115,1
12.7132,226.1228,157.8898,556.5344,289.4792,20.9693,289.4792,325.7285,35.3324,112.0621,90.3767,278.0992,1
77.1676,193.8897,188.1053,337.4497,-8.5457,352.915,320.5416,629.0593,14.1803,53.8013,42.7859,130.202,1
